new cases,harga terakhir per lembar saham garuda
8,254
3,268
3,276
1,284
4,278
13,250
9,262
7,244
1,226
40,222
23,208
52,194
68,181
96,169
93,159
78,150
114,150
209,170
291,185
266,175
219,181
296,182
222,183
380,191
449,210
462,218
437,204
677,210
622,208
564,210
591,199
751,192
802,197
367,193
747,183
560,182
714,179
859,167
422,162
821,184
521,180
689,188
778,181
946,198
756,206
698,246
478,230
942,224
1408,234
1130,234
975,224
1013,228
970,222
1353,222
855,226
1345,234
1371,234
1389,238
1179,250
1369,246
1200,240
1402,276
1644,290
2057,284
2481,274
1905,284
2124,278
2083,268
2157,280
2058,276
2591,276
2143,274
1926,274
2059,272
2229,272
2416,266
2481,266
2090,252
2648,246
2881,244
3229,248
2617,244
2382,250
2578,248
3727,248
5200,266
3266,258
2559,258
3107,260
3131,258
3159,264
2944,260
3456,256
3352,258
3844,256
3777,260
3583,256
3116,254
3461,252
4727,248
3827,244
3199,232
3798,238
3626,240
3741,258
4933,260
3356,252
3380,256
3875,254
4174,256
4595,250
3340,256
3799,254
3771,254
4909,262
4593,256
5420,254
6061,260
5476,252
5554,254
6115,254
7244,254
6516,252
5742,256
6109,256
6625,250
7677,234
7492,232
6306,240
7033,240
7902,236
7278,236
7811,236
8342,230
8172,222
8935,218
9275,210
9636,220
7022,216
7983,218
8789,214
8640,220
8599,222
7246,222
8122,228
9063,228
9676,230
8179,236
6568,230
7861,234
8239,240
8845,246
8627,244
6744,244
7232,240
8533,242
8847,242
8730,244
6451,242
7025,240
5227,238
5926,242
6720,238
8166,242
7525,242
5718,258
7586,300
7555,288
8317,318
10880,328
7068,322
7721,330
8423,392
9582,390
9567,394
8861,396
8364,396
11043,384
9802,382
11603,394
9223,378
10173,410
11069,416
16699,436
11628,436
11538,448
10616,446
11996,450
12685,454
10969,446
12209,440
13419,446
14687,440
13390,454
13662,462
12693,444
15006,434
11738,432
15781,432
16064,402
13470,404
14838,410
17663,400
18573,398
21186,416
17433,414
20085,414
22626,412
23141,418
25694,414
18188,402
20704,388
25121,388
23394,384
27254,370
19990,350
26154,326
23921,320
27404,298
27595,290
21967,312
20719,324
23951,326
22785,320
23452,322
16564,336
17408,342
17554,342
16878,338
12924,344
20056,340
19585,332
17861,326
21234,324
20361,324
19550,328
15068,344
16985,378
16466,360
13359,374
11424,366
13616,354
14528,342
13942,346
13788,342
12779,338
11272,348
12824,346
11177,370
10830,368
13649,378
13141,372
12558,368
11488,370
10592,364
10454,348
12215,348
9961,344
